pdf_id,file_name,state,district,year,format_id,source_page_start,source_page_end,table_id,anchor_page,continuation_page,anchor_printed_page,continuation_printed_page
rae_bareli_tehsil_1971,rae_bareli_tehsil_1971.pdf,Uttar Pradesh,Rae Bareli,1971,format_003,201,202,rae_bareli_tehsil_001,1,2,182,183
rampur_civic_1971,rampur_civic_1971.pdf,Uttar Pradesh,Rampur,1971,format_001,25,26,rampur_civic_001,1,2,6,7
rampur_mededu_1971,rampur_mededu_1971.pdf,Uttar Pradesh,Rampur,1971,format_002,25,26,rampur_mededu_001,1,2,6,7
rampur_tehsil_1971,rampur_tehsil_1971.pdf,Uttar Pradesh,Rampur,1971,format_003,151,152,rampur_tehsil_001,1,2,132,133
saharanpur_civic_1971,saharanpur_civic_1971.pdf,Uttar Pradesh,Saharanpur,1971,format_001,32,33,saharanpur_civic_001,1,2,10,11
saharanpur_mededu_1971,saharanpur_mededu_1971.pdf,Uttar Pradesh,Saharanpur,1971,format_002,34,35,saharanpur_mededu_001,1,2,12,13
saharanpur_tehsil_1971,saharanpur_tehsil_1971.pdf,Uttar Pradesh,Saharanpur,1971,format_003,246,247,saharanpur_tehsil_001,1,2,224,225
shahjahanpur_civic_1971,shahjahanpur_civic_1971.pdf,Uttar Pradesh,Shahjahanpur,1971,format_001,26,27,shahjahanpur_civic_001,1,2,6,7
shahjahanpur_mededu_1971,shahjahanpur_mededu_1971.pdf,Uttar Pradesh,Shahjahanpur,1971,format_002,28,29,shahjahanpur_mededu_001,1,2,8,9
shahjahanpur_tehsil_1971,shahjahanpur_tehsil_1971.pdf,Uttar Pradesh,Shahjahanpur,1971,format_003,262,263,shahjahanpur_tehsil_001,1,2,242,243
sitapur_civic_1971,sitapur_civic_1971.pdf,Uttar Pradesh,Sitapur,1971,format_001,26,27,sitapur_civic_001,1,2,6,7
sitapur_mededu_1971,sitapur_mededu_1971.pdf,Uttar Pradesh,Sitapur,1971,format_002,28,29,sitapur_mededu_001,1,2,8,9
sitapur_tehsil_1971,sitapur_tehsil_1971.pdf,Uttar Pradesh,Sitapur,1971,format_003,260,261,sitapur_tehsil_001,1,2,240,241
sultanpur_civic_1971,sultanpur_civic_1971.pdf,Uttar Pradesh,Sultanpur,1971,format_001,27,28,sultanpur_civic_001,1,2,6,7
sultanpur_mededu_1971,sultanpur_mededu_1971.pdf,Uttar Pradesh,Sultanpur,1971,format_002,27,28,sultanpur_mededu_001,1,2,6,7
sultanpur_tehsil_1971,sultanpur_tehsil_1971.pdf,Uttar Pradesh,Sultanpur,1971,format_003,271,272,sultanpur_tehsil_001,1,2,250,251
