state,source_state_folder,district,source,table,table_label,status,source_pages,output,output_page_count,geometry_ok,reason
Arunachal Pradesh,Arunachal Pradesh,Subansiri,1971\Arunachal Pradesh\1971 Subansiri.pdf,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,,,0,False,"No separate town Statement IV/V page was located in the inspected district volume; the available amenities abstract is the Circle-wise Village Directory appendix, which was extracted as tehsil_appendix."
Arunachal Pradesh,Arunachal Pradesh,Subansiri,1971\Arunachal Pradesh\1971 Subansiri.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"72,73",output\pdf\1971_trimmed\Arunachal Pradesh\tehsil appendix\Subansiri_tehsil_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Arunachal Pradesh,Arunachal Pradesh,Tirap,1971\Arunachal Pradesh\1971 Tirap .pdf,civic_amenities,Civic Amenities,Not trimmed,,,0,False,"No separate town Statement IV/V page was located in the inspected district volume; the available amenities abstract is the Circle-wise Village Directory appendix, which was extracted as tehsil_appendix."
Arunachal Pradesh,Arunachal Pradesh,Tirap,1971\Arunachal Pradesh\1971 Tirap .pdf,medical_educational_amenities,Medical and Educational Amenities,Not trimmed,,,0,False,"No separate town Statement IV/V page was located in the inspected district volume; the available amenities abstract is the Circle-wise Village Directory appendix, which was extracted as tehsil_appendix."
Arunachal Pradesh,Arunachal Pradesh,Tirap,1971\Arunachal Pradesh\1971 Tirap .pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"76,77",output\pdf\1971_trimmed\Arunachal Pradesh\tehsil appendix\Tirap_tehsil_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Bhagalpur,1971\Bihar\24656_1971_BHA.pdf,civic_amenities,Civic Amenities,Trimmed,41,output\pdf\1971_trimmed\Bihar\civic amenities\Bhagalpur_civic_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Bhagalpur,1971\Bihar\24656_1971_BHA.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,41,output\pdf\1971_trimmed\Bihar\mededu\Bhagalpur_mededu_1971.pdf,1,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Bhagalpur,1971\Bihar\24656_1971_BHA.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"213,214",output\pdf\1971_trimmed\Bihar\tehsil appendix\Bhagalpur_tehsil_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Dhanbad,1971\Bihar\24912_1971_DHA.pdf,civic_amenities,Civic Amenities,Trimmed,"33,34",output\pdf\1971_trimmed\Bihar\civic amenities\Dhanbad_civic_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Dhanbad,1971\Bihar\24912_1971_DHA.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,"35,36",output\pdf\1971_trimmed\Bihar\mededu\Dhanbad_mededu_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Dhanbad,1971\Bihar\24912_1971_DHA.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"113,114",output\pdf\1971_trimmed\Bihar\tehsil appendix\Dhanbad_tehsil_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Hazaribagh,1971\Bihar\25098_1971_HAZ.pdf,civic_amenities,Civic Amenities,Trimmed,"63,64",output\pdf\1971_trimmed\Bihar\civic amenities\Hazaribagh_civic_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved. Automated text check was inconclusive because the scan has weak/no text extraction; the page span was verified from the printed table layout."
Bihar,Bihar,Hazaribagh,1971\Bihar\25098_1971_HAZ.pdf,medical_educational_amenities,Medical and Educational Amenities,Trimmed,"65,66",output\pdf\1971_trimmed\Bihar\mededu\Hazaribagh_mededu_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Hazaribagh,1971\Bihar\25098_1971_HAZ.pdf,tehsil_appendix,Tehsil Appendix,Trimmed,"393,394,395,396",output\pdf\1971_trimmed\Bihar\tehsil appendix\Hazaribagh_tehsil_1971.pdf,4,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
Bihar,Bihar,Ranchi,1971\Bihar\25194_1971_RAN.pdf,civic_amenities,Civic Amenities,Trimmed,"45,46",output\pdf\1971_trimmed\Bihar\civic amenities\Ranchi_civic_1971.pdf,2,True,"Complete source-page span extracted; page order, geometry, rotation, margins, and scan content preserved."
