state,category,table,filename,destination,sha256,page_count
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Kurnool_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Kurnool_tehsil_appendix.pdf,4815b16e1bc9e30dcec2ad094197249e4d4da8934fe4ae3fa6e08004bfe1a6ca,4
Andra Pradesh,civic amenities,civic_amenities,1981_Mahbubnagar_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Mahbubnagar_civic_amenities.pdf,bbea1da0ea1073861f578fa84b27ef1a66ed4f387f1db4d4e4a3b50c6e7f4800,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Mahbubnagar_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Mahbubnagar_medical_educational_amenities.pdf,6c9de5a475adaacfc7ebc11d8b78c8fbe4d02b0b286d23f6c1e5339ae786c742,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Mahbubnagar_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Mahbubnagar_tehsil_appendix.pdf,f10f8db4f8be3a14f939eccc9c363f888b487dba00dfe9afa52a6ac301fef9ed,4
Andra Pradesh,civic amenities,civic_amenities,1981_Medak_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Medak_civic_amenities.pdf,278e83da9b4c1f154fccd02b82001f5959cec3c136b3e174e0d36072db3b804f,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Medak_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Medak_medical_educational_amenities.pdf,aa0b3d1d5693af467b13a85b2126d9bef98ba49763597401c040f1963330dafb,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Medak_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Medak_tehsil_appendix.pdf,cd378db7a9349fd1f4602d61b22a44beacc0c0713fe01fce3dd1a8d076c2aca6,4
Andra Pradesh,civic amenities,civic_amenities,1981_Nalgonda_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Nalgonda_civic_amenities.pdf,3be388c773aa7224b084d706bc365cf83857f57f03cf8d18f1469802d0fb7c6e,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Nalgonda_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Nalgonda_medical_educational_amenities.pdf,67e901c8093034abdef73e421b6418050cd14b7971fcf33a26e46d2eb1fa2840,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Nalgonda_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Nalgonda_tehsil_appendix.pdf,761ea65e795957cb0c8e0bb12998d059c14130dc6752f9e51f1b07a381104597,4
Andra Pradesh,civic amenities,civic_amenities,1981_Nellore_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Nellore_civic_amenities.pdf,4a80c4f4f152c350a29b2d6ed11efe8752f07b6b2eb4045956a28e1633709ccc,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Nellore_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Nellore_medical_educational_amenities.pdf,fa6632c932b16b83ed9a9c6a2bae7031d73e03c393b96200422c36d25db52c10,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Nellore_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Nellore_tehsil_appendix.pdf,653b8db09edbfd687c4625c266412ec210523749424de0422a61d1cbe3dc12b7,4
Andra Pradesh,civic amenities,civic_amenities,1981_Nizamabad_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Nizamabad_civic_amenities.pdf,91c2a4d755dec834755462c9bcf16191b3e27f4699fa20f1a1f599c433aa88f4,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Nizamabad_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Nizamabad_medical_educational_amenities.pdf,f32b3bb9741405f852c23f9e3e9207dfc7fe335fbc45c1ff4bc991cb5512b132,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Nizamabad_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Nizamabad_tehsil_appendix.pdf,c0914706a1bbda6a03fa82d31f23014efd57c69e8250305c5f63f4aee8c6f843,4
Andra Pradesh,civic amenities,civic_amenities,1981_Prakasam_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Prakasam_civic_amenities.pdf,15c9565c9af18a41830a12bc5cd287d78a2348d011b9c13ffed7f12808d36e34,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Prakasam_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Prakasam_medical_educational_amenities.pdf,790ec9bb5be18a7aca21f06c8ec00deba9ccc073aedfed6068cee5ece304be61,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Prakasam_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Prakasam_tehsil_appendix.pdf,75fff73984d175e2ce4d044f74adecab4da4ab7fffbeff3c70897d96e5c5da73,4
Andra Pradesh,civic amenities,civic_amenities,1981_Rangareddi_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Rangareddi_civic_amenities.pdf,33bd188057c787a7a3bdc9d92a400af8a11a6a53ff35a1fe0a282ace825f99a7,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Rangareddi_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Rangareddi_medical_educational_amenities.pdf,8048c556afb60e248351ebbf1130940129d8a591659188c9a2c72b922d5c2d4b,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Rangareddi_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Rangareddi_tehsil_appendix.pdf,f9184cd7649759c08e5074e9d79901f83cc423551f4c07a3f0dd378e645b9b2c,4
Andra Pradesh,mededu,medical_educational_amenities,1981_Srikakulam_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Srikakulam_medical_educational_amenities.pdf,79abfead5d683e8b1f10d53eab5942546e159f05c647e3bee87ee774f4e2548c,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Srikakulam_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Srikakulam_tehsil_appendix.pdf,2e84cc2716220b44e38f5b5fb8339cfe0b3f027c2516b33df2f6163f2dcef2f8,4
Andra Pradesh,civic amenities,civic_amenities,1981_Warangal_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_Warangal_civic_amenities.pdf,99498bdf00ae74e52cd926f27ec241a78d73e9a1aab4fc6d64428ab9a37a38fb,2
Andra Pradesh,mededu,medical_educational_amenities,1981_Warangal_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_Warangal_medical_educational_amenities.pdf,5f3e201034f24cdabbbb82e4949ff8c6cc9ec718cab56c576fa3bb1d2f3194e3,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_Warangal_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_Warangal_tehsil_appendix.pdf,d70c891aa99741cd29fed41147fc107b54e0b7aef6dd258b76021bed38e14d75,4
Andra Pradesh,civic amenities,civic_amenities,1981_West Godavari_civic_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/civic amenities/1981_West Godavari_civic_amenities.pdf,cc7b2f2dfe2156769bffdc88a9506dbdaef7f718a15d0c4d796137e8edc50145,2
Andra Pradesh,mededu,medical_educational_amenities,1981_West Godavari_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Andra Pradesh/mededu/1981_West Godavari_medical_educational_amenities.pdf,cd445fabf85491bb24bf08191759df066aa8d3f9c405c5fcf509b575e11ccad7,2
Andra Pradesh,tehsil appendix,tehsil_appendix,1981_West Godavari_tehsil_appendix.pdf,output/pdf/1981_trimmed/Andra Pradesh/tehsil appendix/1981_West Godavari_tehsil_appendix.pdf,54d82d77c9e9b281edddad5622e247031355322301b23855ccb55be6815c01a1,4
Arunachal Pradesh,civic amenities,civic_amenities,1981_Lohit_civic_amenities.pdf,output/pdf/1981_trimmed/Arunachal Pradesh/civic amenities/1981_Lohit_civic_amenities.pdf,004cea06335f277261f795b3ec7397470c7e440c77b62f827d8e9d4a05add718,1
Arunachal Pradesh,mededu,medical_educational_amenities,1981_Lohit_medical_educational_amenities.pdf,output/pdf/1981_trimmed/Arunachal Pradesh/mededu/1981_Lohit_medical_educational_amenities.pdf,12330b94ba44bd84b0a1f41f799e51ba01dbcb8760d3201e22bff37c1e72ce28,1
Arunachal Pradesh,tehsil appendix,tehsil_appendix,1981_Lohit_tehsil_appendix.pdf,output/pdf/1981_trimmed/Arunachal Pradesh/tehsil appendix/1981_Lohit_tehsil_appendix.pdf,160d2b1071a8a7eb6c47e763a817861611843876aa5a377c88b179d59b853203,4
