sl_no,sl_no_flag,town_name,town_name_flag,road_length_km,road_length_km_flag,sewerage_drainage_system,sewerage_drainage_system_flag,water_borne_latrines,water_borne_latrines_flag,service_latrines,service_latrines_flag,other_latrines,other_latrines_flag,night_soil_disposal_method,night_soil_disposal_method_flag,water_source,water_source_flag,water_capacity,water_capacity_flag,fire_service,fire_service_flag,elec_domestic,elec_domestic_flag,elec_industrial,elec_industrial_flag,elec_commercial,elec_commercial_flag,elec_road_light,elec_road_light_flag,elec_other,elec_other_flag,pucca_road_km,kutcha_road_km,row_type,reference_target,requires_review,row_index,pdf_id,district,state,year,format_id,table_id,source_pdf,source_pdf_sha256,source_page_start,source_page_end,anchor_printed_page,continuation_printed_page,metadata_workbook,metadata_workbook_sha256,extracted_at
3,,Bilari,,PR (6) KR (3),,PT/OSD,,95,,780,,...,,B/HC,,HP,,...,,...,,362,,67,,109,,203,,...,,6.0,3.0,ORDINARY,,False,2,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
4,,Chandausi,,PR (17) KR (7),,PT/OSD,,400,,"4,500",,15,,B/HC/MT,,TW/OHT,,"60,000 Galls.",,Yes,,"3,161",,301,,118,,745,,...,,17.0,7.0,ORDINARY,,False,3,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
5,,Dhanaura,,PR (11) KR (0),,PT/OSD,,29,,529,,...,,B,,HP/W,,...,,...,,507,,7,,38,,162,,...,,11.0,0.0,ORDINARY,,False,4,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
6,,Hasanpur,,PR (20) KR (13),,OSD,,...,,"2,000",,...,,B,,HP/W,,...,,...,,672,,81,,167,,347,,...,,20.0,13.0,ORDINARY,,False,5,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
7,,Kanth,,PR (2) KR (1),,OSD,,...,,"1,600",,...,,B,,HP/W,,...,,...,,354,,28,,94,,275,,...,,2.0,1.0,ORDINARY,,False,6,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
8,,Moradabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Moradabad City Urban Agglomeration,False,7,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
,,Moradabad City Urban Agglomeration,,PR (166) KR (5),,PT/OSD,,"5,706",,"36,983",,...,,B/HC/MT,,TW/OHT,,"3,313,270 Galls.",,Yes,,"29,498",,"3,020",,"7,480",,"3,400",,...,,166.0,5.0,AGGREGATE,,False,8,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
(i),,Moradabad,,PR (153) KR (5),,PT/OSD,,"5,600",,"35,413",,...,,B/HC/MT,,TW/OHT,,"110,000 Galls.",,Yes,,"27,352",,"3,015",,"7,460",,"2,687",,...,,153.0,5.0,COMPONENT,,False,9,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
(ii),,Moradabad Rly. Settlement,,PR (13) KR (0),,PT/OSD,,106,,"1,570",,...,,B/HC,,TW/OHT,,"3,203,270 Galls.",,Yes,,"2,146",,5,,20,,713,,...,,13.0,0.0,COMPONENT,,False,10,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
9,,Moradabad Rly. Settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Moradabad City Urban Agglomeration,False,11,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
10,,Rustamnagar Sahaspur,,PR (1) KR (3),,PT/OSD,,11,,381,,85,,HC,,HP/W,,...,,...,,170,,1,,11,,24,,...,,1.0,3.0,ORDINARY,,False,12,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
11,,Sambhal,,PR (35) KR (4),,OSD,,...,,"5,109",,...,,B/HC,,HP/W,,...,,...,,"3,158",,287,,118,,"1,500",,...,,35.0,4.0,ORDINARY,,False,13,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
12,,Thakurdwara,,PR (10) KR (0),,OSD,,...,,"1,425",,...,,B/HC,,HP/W,,...,,...,,168,,22,,125,,136,,...,,10.0,0.0,ORDINARY,,False,14,moradabad_civic_1971,Moradabad,Uttar Pradesh,1971,format_001,moradabad_civic_001,moradabad_civic_1971.pdf,b9e790e27ee022be9c299b178aad988d98760b2a2e1eb7718ba83899fb851f0e,28,29,10,11,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:28:32.624998+00:00
1,,Jansath,,PR (4) KR (0),,OSD,,...,,"2,000",,...,,HL,,HP,,...,,...,,"1,000",,...,,50,,40,,...,,4.0,0.0,ORDINARY,,False,0,muzaffarnagar_civic_1971,Muzaffarnagar,Uttar Pradesh,1971,format_001,muzaffarnagar_civic_001,muzaffarnagar_civic_1971.pdf,0f3e4342e67c6c2cdd0674ac36751152579cea78e4ccd65f7f6cdea2cc5f24fe,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:39:52.988745+00:00
2,,Kairana,,PR (7) KR (10),,PT/OSD,,50,,"9,006",,...,,HC,,HP,,...,,...,,745,,32,,223,,500,,...,,7.0,10.0,ORDINARY,,False,1,muzaffarnagar_civic_1971,Muzaffarnagar,Uttar Pradesh,1971,format_001,muzaffarnagar_civic_001,muzaffarnagar_civic_1971.pdf,0f3e4342e67c6c2cdd0674ac36751152579cea78e4ccd65f7f6cdea2cc5f24fe,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:39:52.988745+00:00
3,,Kandhla,,PR (6) KR (14),,S/OSD,,N.A.,,"2,000",,...,,HL/HC,,TW/OHT,,"50,000 Galls.",,...,,"1,200",,11,,18,,196,,...,,6.0,14.0,ORDINARY,,False,2,muzaffarnagar_civic_1971,Muzaffarnagar,Uttar Pradesh,1971,format_001,muzaffarnagar_civic_001,muzaffarnagar_civic_1971.pdf,0f3e4342e67c6c2cdd0674ac36751152579cea78e4ccd65f7f6cdea2cc5f24fe,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:39:52.988745+00:00
4,,Khatauli,,PR (22) KR (7),,S/PT/OSD,,116,,"2,015",,...,,HL/HC,,TW/OHT,,"50,000 Galls.",,...,,"2,010",,35,,80,,400,,...,,22.0,7.0,ORDINARY,,False,3,muzaffarnagar_civic_1971,Muzaffarnagar,Uttar Pradesh,1971,format_001,muzaffarnagar_civic_001,muzaffarnagar_civic_1971.pdf,0f3e4342e67c6c2cdd0674ac36751152579cea78e4ccd65f7f6cdea2cc5f24fe,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:39:52.988745+00:00
5,,Miranpur,,PR (6) KR (0),,PT/OSD,,10,,"2,500",,...,,HL,,HP,,...,,...,,"2,000",,20,,150,,70,,...,,6.0,0.0,ORDINARY,,False,4,muzaffarnagar_civic_1971,Muzaffarnagar,Uttar Pradesh,1971,format_001,muzaffarnagar_civic_001,muzaffarnagar_civic_1971.pdf,0f3e4342e67c6c2cdd0674ac36751152579cea78e4ccd65f7f6cdea2cc5f24fe,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:39:52.988745+00:00
6,,Muzaffarnagar,,PR (16) KR (0),,PT/OSD,,"2,000",,"8,012",,...,,HC/HL/MT,,TW/OHT,,"94,800 Galls.",,Yes,,"9,217",,460,,750,,"1,650",,...,,16.0,0.0,ORDINARY,,False,5,muzaffarnagar_civic_1971,Muzaffarnagar,Uttar Pradesh,1971,format_001,muzaffarnagar_civic_001,muzaffarnagar_civic_1971.pdf,0f3e4342e67c6c2cdd0674ac36751152579cea78e4ccd65f7f6cdea2cc5f24fe,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:39:52.988745+00:00
7,,Shamli,,PR (46) KR (0),,PT/OSD,,116,,"1,600",,...,,MT/HC,,TW/OHT,,"1,00,000 Galls.",,...,,"2,218",,5,,180,,530,,...,,46.0,0.0,ORDINARY,,False,6,muzaffarnagar_civic_1971,Muzaffarnagar,Uttar Pradesh,1971,format_001,muzaffarnagar_civic_001,muzaffarnagar_civic_1971.pdf,0f3e4342e67c6c2cdd0674ac36751152579cea78e4ccd65f7f6cdea2cc5f24fe,22,23,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:39:52.988745+00:00
1,,Bhowali,,PR (10) KR (8),,OSD,,...,,423,,...,,HC,,F,,...,,...,,89,,5,,62,,40,,...,,10.0,8.0,ORDINARY,,False,0,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
2,,Haldwani-cum-Kathgodam,,PR (20.3) KR (1.2),,OSD,,N.A.,,N.A.,,N.A.,,HC,,TW/OHT,,"563,000 Gallons",,Yes,,"2,572",,136,,"1,378",,"1,045",,...,,20.3,1.2,ORDINARY,,False,1,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
3,,Jaspur,,PR (18) KR (7),,PT/OSD,,55,,"1,625",,...,,HC,,HP,,...,,...,,496,,39,,200,,120,,...,,18.0,7.0,ORDINARY,,False,2,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
4,,Kashipur,,PR (35.4) KR (3.5),,OSD,,N.A.,,N.A.,,N.A.,,HC,,TW/OHT,,"75,000 Gallons",,...,,"1,929",,179,,905,,240,,...,,35.4,3.5,ORDINARY,,False,3,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
5,,Naini Tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Naini Tal Urban Agglomeration,False,4,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
6,,Naini Tal Cantt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CROSS_REFERENCE,Naini Tal Urban Agglomeration,False,5,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
,,Naini Tal Urban Agglomeration,,PR (9.2) KR (5.2),,S/OSD,,N.A.,,N.A.,,N.A.,,HC,,F/L/OHT,,"2,636,959 Gallons",,Yes,,"4,617",,18,,"1,000",,"1,209",,...,,9.2,5.2,AGGREGATE,,False,6,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
(i),,Naini Tal,,PR (6.7) KR (3.7),,S/OSD,,"12,600",,"1,400",,...,,HC,,F/L/OHT,,"2,611,959 Gallons",,Yes,,"4,081",,18,,983,,"1,149",,...,,6.7,3.7,COMPONENT,,False,7,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
(ii),,Naini Tal Cantt.,,PR (2.5) KR (1.5),,OSD,,N.A.,,N.A.,,N.A.,,HC,,F/L/OHT,,"25,000 Gallons",,...,,536,,...,,17,,60,,...,,2.5,1.5,COMPONENT,,False,8,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
7,,Ramnagar,,PR (6.4) KR (5.5),,PT/OSD,,150,,739,,...,,HC,,TW/OHT,,"50,000 Gallons",,Yes,,874,,51,,619,,258,,...,,6.4,5.5,ORDINARY,,False,9,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
8,,Rudrapur,,PR (8) KR (12),,PT/OSD,,476,,"1,035",,...,,HC,,TW/OHT,,"24,000 Gallons",,...,,"1,009",,72,,590,,313,,...,,8.0,12.0,ORDINARY,,False,10,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
9,,Tanakpur,,PR (5.4) KR (1.2),,PT/OSD,,50,,600,,...,,HC,,TW/OHT,,"30,000 Gallons",,Yes,,432,,12,,122,,150,,...,,5.4,1.2,ORDINARY,,False,11,nainital_civic_1971,Nainital,Uttar Pradesh,1971,format_001,nainital_civic_001,nainital_civic_1971.pdf,d173d558ab6761f9a4b046e0280692c13bb1e8aca301a5e22368b0b4c90f202a,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:43:54.820379+00:00
1,,Bela Pratapgarh,,PR (24) KR (4),,PT/OSD,,240,,"3,347",,...,,B,,TW/OHT,,"58,000 Gallons",,...,,"1,615",,133,,643,,497,,...,,24.0,4.0,ORDINARY,,False,0,parthpgad_civic_1971,Pratapgarh,Uttar Pradesh,1971,format_001,parthpgad_civic_001,parthpgad_civic_1971.pdf,649df837429f2699015d5471def4175894e3a3e759b11f8438560bbaa5e7867f,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:47:58.358737+00:00
1,,Bisalpur,,PR (12.7) KR (2.1),,PT/OSD,,25,,"3,408",,...,,B,,HP,,...,,...,,800,,12,,77,,350,,...,,12.7,2.1,ORDINARY,,False,0,peelibhit_civic_1971,Peelibhit,Uttar Pradesh,1971,format_001,peelibhit_civic_001,peelibhit_civic_1971.pdf,d173611378d7ea401db7d629c1c23d33715bcdbdd797c2a70fbd2051a0ddc537,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:55:00.849041+00:00
2,,Pilibhit,,PR (109.1) KR (5.3),,S/OSD,,"1,073",,"12,584",,...,,B,,TW/OHT,,"100,000 Galls.",,Yes,,"4,357",,230,,146,,"1,638",,...,,109.1,5.3,ORDINARY,,False,1,peelibhit_civic_1971,Peelibhit,Uttar Pradesh,1971,format_001,peelibhit_civic_001,peelibhit_civic_1971.pdf,d173611378d7ea401db7d629c1c23d33715bcdbdd797c2a70fbd2051a0ddc537,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:55:00.849041+00:00
3,,Puranpur,,PR (1) KR (1),,PT/BD/OSD,,276,,"1,743",,...,,HC,,HP,,...,,...,,800,,100,,139,,150,,...,,1.0,1.0,ORDINARY,,False,2,peelibhit_civic_1971,Peelibhit,Uttar Pradesh,1971,format_001,peelibhit_civic_001,peelibhit_civic_1971.pdf,d173611378d7ea401db7d629c1c23d33715bcdbdd797c2a70fbd2051a0ddc537,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T21:55:00.849041+00:00
1,,Pithoragarh,,PR (12) KR (20),,S/OSD,,225,,174,,...,,HL,,F/SR,,"65,000 Gallon.",,Yes,,679,,8,,216,,350,,...,,12.0,20.0,ORDINARY,,False,0,pithoragarh_civic_1971,Pithoragarh,Uttar Pradesh,1971,format_001,pithoragarh_civic_001,pithoragarh_civic_1971.pdf,de69c78f211486cf51caefa0ec788d73aaec25dbdc496b87184ce1c0d5b3f2eb,24,25,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:02:14.949300+00:00
1,,Jais,,PR (5.0) KR (3.0),,PT/OSD,,14,,"1,200",,3,,B/HC,,TW/OHT,,"30,000 Gallons",,...,,250,,30,,50,,57,,...,,5.0,3.0,ORDINARY,,False,0,rae_bareli_civic_1971,Rae Bareli,Uttar Pradesh,1971,format_001,rae_bareli_civic_001,rae_bareli_civic_1971.pdf,1bf542abcda234a49fe34f9e39a74d4653bf99c89caabaa3bd294d4ae0518678,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:03:37.175614+00:00
2,,Rae Bareli,,PR (59.5) KR (1.1),,PT/OSD,,187,,"3,648",,...,,B/HC/MT,,TW/OHT,,"62,500 Gallons",,...,,"1,219",,132,,547,,442,,...,,59.5,1.1,ORDINARY,,False,1,rae_bareli_civic_1971,Rae Bareli,Uttar Pradesh,1971,format_001,rae_bareli_civic_001,rae_bareli_civic_1971.pdf,1bf542abcda234a49fe34f9e39a74d4653bf99c89caabaa3bd294d4ae0518678,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:03:37.175614+00:00
1,,Rampur,,PR (130) KR (45),,PT/OSD,,824,,"17,484",,60,,HL/B/HC,,TW/OHT,,"100,000 Galls.",,Yes,,"11,351",,605,,792,,"2,372",,...,,130,45,ORDINARY,,False,0,rampur_civic_1971,Rampur,Uttar Pradesh,1971,format_001,rampur_civic_001,rampur_civic_1971.pdf,8141c76e34b694e379c64147e2618648703ee26d248998216553d3fa2cf12dcd,25,26,6,7,E:\Archival-Digitisation-Project\1971_Trimmed_PDF\Uttar_Pradesh\metadata\document.xlsx,4bf05d889c56070f43e73558469b6cab4e2a96f37cf6cc1e9a7aa54c7efd5abe,2026-08-30T22:06:06.986705+00:00
