pdf_id,file_name,state,district,year,format_id,source_pdf,source_page_start,source_page_end
peelibhit_mededu_1971,peelibhit_mededu_1971.pdf,Uttar Pradesh,Peelibhit,1971,format_002,1971 Peelibhit.pdf,25,26
peelibhit_tehsil_1971,peelibhit_tehsil_1971.pdf,Uttar Pradesh,Peelibhit,1971,format_003,1971 Peelibhit.pdf,155,156
pithoragarh_civic_1971,pithoragarh_civic_1971.pdf,Uttar Pradesh,Pithoragarh,1971,format_001,1971 Pithoragarh.pdf,24,25
pithoragarh_mededu_1971,pithoragarh_mededu_1971.pdf,Uttar Pradesh,Pithoragarh,1971,format_002,1971 Pithoragarh.pdf,24,25
pithoragarh_tehsil_1971,pithoragarh_tehsil_1971.pdf,Uttar Pradesh,Pithoragarh,1971,format_003,1971 Pithoragarh.pdf,182,183
rae_bareli_civic_1971,rae_bareli_civic_1971.pdf,Uttar Pradesh,Rae Bareli,1971,format_001,1971 Rae Bareli.pdf,25,26
rae_bareli_mededu_1971,rae_bareli_mededu_1971.pdf,Uttar Pradesh,Rae Bareli,1971,format_002,1971 Rae Bareli.pdf,25,26
rae_bareli_tehsil_1971,rae_bareli_tehsil_1971.pdf,Uttar Pradesh,Rae Bareli,1971,format_003,1971 Rae Bareli.pdf,201,202
rampur_civic_1971,rampur_civic_1971.pdf,Uttar Pradesh,Rampur,1971,format_001,1971 Rampur.pdf,25,26
rampur_mededu_1971,rampur_mededu_1971.pdf,Uttar Pradesh,Rampur,1971,format_002,1971 Rampur.pdf,25,26
rampur_tehsil_1971,rampur_tehsil_1971.pdf,Uttar Pradesh,Rampur,1971,format_003,1971 Rampur.pdf,151,152
saharanpur_civic_1971,saharanpur_civic_1971.pdf,Uttar Pradesh,Saharanpur,1971,format_001,1971 Saharanpur.pdf,32,33
saharanpur_mededu_1971,saharanpur_mededu_1971.pdf,Uttar Pradesh,Saharanpur,1971,format_002,1971 Saharanpur.pdf,34,35
saharanpur_tehsil_1971,saharanpur_tehsil_1971.pdf,Uttar Pradesh,Saharanpur,1971,format_003,1971 Saharanpur.pdf,246,247
shahjahanpur_civic_1971,shahjahanpur_civic_1971.pdf,Uttar Pradesh,Shahjahanpur,1971,format_001,1971 Shahjahanpur.pdf,26,27
shahjahanpur_mededu_1971,shahjahanpur_mededu_1971.pdf,Uttar Pradesh,Shahjahanpur,1971,format_002,1971 Shahjahanpur.pdf,28,29
shahjahanpur_tehsil_1971,shahjahanpur_tehsil_1971.pdf,Uttar Pradesh,Shahjahanpur,1971,format_003,1971 Shahjahanpur.pdf,262,263
sitapur_civic_1971,sitapur_civic_1971.pdf,Uttar Pradesh,Sitapur,1971,format_001,1971 Sitapur.pdf,26,27
sitapur_mededu_1971,sitapur_mededu_1971.pdf,Uttar Pradesh,Sitapur,1971,format_002,1971 Sitapur.pdf,28,29
